proc_code	proc_name	proc_group	proc_subgroup		
201010038	BIOPSIA CIRURGICA DE TIREOIDE	02 Procedimentos com finalidade diagnóstica	0201 Coleta de material		
201010097	BIOPSIA DE CONJUNTIVA	02 Procedimentos com finalidade diagnóstica	0201 Coleta de material		
201010119	BIOPSIA DE CORNEA	02 Procedimentos com finalidade diagnóstica	0201 Coleta de material		
201010127	BIOPSIA DE CORPO VERTEBRAL A CEU ABERTO	02 Procedimentos com finalidade diagnóstica	0201 Coleta de material		
201010135	BIOPSIA DE CORPO VERTEBRAL LAMINA E PEDICULO VERTEBRAL (POR DISPOSITIVO GUIADO)	02 Procedimentos com finalidade diagnóstica	0201 Coleta de material		
201010143	BIOPSIA DE ENDOCARDIO / MIOCARDIO	02 Procedimentos com finalidade diagnóstica	0201 Coleta de material		
201010160	BIOPSIA DE ENDOMETRIO POR ASPIRACAO MANUAL INTRA-UTERINA	02 Procedimentos com finalidade diagnóstica	0201 Coleta de material		
201010186	BIOPSIA DE ESCLERA	02 Procedimentos com finalidade diagnóstica	0201 Coleta de material		
201010208	BIOPSIA DE FIGADO EM CUNHA / FRAGMENTO	02 Procedimentos com finalidade diagnóstica	0201 Coleta de material		
201010240	"BIOPSIA DE IRIS	 CORPO CILIAR	 RETINA	 COROIDE	 VITREO E TUMOR INTRA OCULAR"""""	02 Procedimentos com finalidade diagnóstica	"0201 Coleta de material"""		
201010259	BIOPSIA DE LAMINA PEDICULO E PROCESSOS VERTEBRAIS (A CEU ABERTO)	02 Procedimentos com finalidade diagnóstica	0201 Coleta de material		
201010267	BIOPSIA DE LESAO DE PARTES MOLES (POR AGULHA / CEU ABERTO)	02 Procedimentos com finalidade diagnóstica	0201 Coleta de material		
201010275	BIOPSIA DE MEDULA OSSEA	02 Procedimentos com finalidade diagnóstica	0201 Coleta de material		
201010305	BIOPSIA DE OSSO / CARTILAGEM DA CINTURA ESCAPULAR (POR AGULHA / CEU ABERTO)	02 Procedimentos com finalidade diagnóstica	0201 Coleta de material		
201010313	BIOPSIA DE OSSO / CARTILAGEM DA CINTURA PELVICA (POR AGULHA / CEU ABERTO)	02 Procedimentos com finalidade diagnóstica	0201 Coleta de material		
201010321	BIOPSIA DE OSSO / CARTILAGEM DE MEMBRO INFERIOR (POR AGULHA / CEU ABERTO)	02 Procedimentos com finalidade diagnóstica	0201 Coleta de material		
