cobranca_group,cobranca_code,cobranca_name
Released,11,CURADO 
Released,12,MELHORADO 
Released,13,INALTERADO 
Released,14,A PEDIDO 
Released,15,INTERNADO PARA DIAGNÓSTICO 
Released,16,ADMINISTRATIVA 
Released,17,POR INDISCIPLINA 
Released,18,EVASÃO 
Released,19,PARA COMPLEMENTAÇÃO 
Released,21,POR CARACTERÍSTICAS PRÓPRIAS DA DOENÇA 
Released,22,POR INTERCORRÊNCIA DO PROCEDIMENTO 
Released,23,POR MOTIVO SOCIAL 
Released,24,POR DOENÇA CRÔNICA 
Released,25,POR IMPOSSIBILIDADE DE VIVÊNCIA SÓClO-FAMILIAR 
Released,26,PARA OUTRA INTERNAÇÃO (OUTRO DIAGNÓSTICO) 
Released,27,NaN
Transferred,31,TISIOLOGIA 
Transferred,32,PSIQUIATRIA 
Transferred,33,CLÍNICA MÉDICA 
Transferred,34,CIRURGIA 
Transferred,35,OBSTETRÍCIA 
Transferred,36,BERÇÁRIO 
Transferred,37,PEDIATRIA 
Transferred,38,ISOLAMENTO 
Transferred,39,OUTROS 
Necropsy,41,Ocorrido dentro das 1as. 48 horas quando o paciente for internado em estado pré-agônico ou agônico. 
Necropsy,42,Ocorrido dentro das 1 as 48 horas quando o paciente não for internado em estado pré-agônico ou agônico. 
Necropsy,43,Ocorrido a partir de 48 horas após a internação. 
Necropsy,44,Óbito da parturiente com permanência do Recém Nascido 
Necropsy,51,Ocorrido dentro das 1as. 48 horas quando o paciente for internado em estado pré-agônico ou agônico. 
Necropsy,52,Ocorrido dentro das 1 as 48 horas  quando o paciente não for internado em estado pré-agônico ou agônico. 
Necropsy,53,Ocorrido a partir de 48 horas após a internação. 
Necropsy,54,Óbito da parturiente com permanência do Recém Nascido 
Released to Recuperate,61,Em politraumatizado com < de 24 horas da 1a.cirurgia 
Released to Recuperate,62,Em politraumatizado 24 a 48 horas após a 1a.cirurgia 
Released to Recuperate,63,Em politraumatizado 48 a 72 horas após a 1a.cirurgia 
Released to Recuperate,64,Em politraumatizado > de 72 hs. Após a 1a. cirurgia 
Released to Recuperate,65,Em cirurgia de emergência com menos de 24 da primeira cirurgia 
Released to Recuperate,66,Em cirurgia de emergência 24 a 48 horas após a primeira cirurgia. 
Released to Recuperate,67,Em cirurgia de emergência 48 a 72 horas após a primeira cirurgia. 
Released to Recuperate,68,Em cirurgia de emergência acima de 72 horas após a 1a. cirurgia. 
Released to Recuperate,69,Em parturiente 
Puerpera,71,Alta da paciente com permanência do RN 
